42948.32,0.02,56.9,3.64,136.9,168,0.32
42947.31,0.02,60.6,3.6,141.7,181,0.31
42935.81,0.04,128.8,3.67,140.8,159,0.81
42934.31,0.02,58.3,3.55,138.4,183,0.31
42933.82,0.04,121.6,3.79,140.2,177,0.82
42931.93,0.03,83.3,4.03,148.3,170,0.93
42928.77,0.03,99.2,3.78,148.1,172,0.77
42927.83,0.04,110.9,3.5,138.4,170,0.83
42926.31,0.03,46.4,3.53,144.9,158,0.31
42925.48,0.06,289.1,3.77,152.5,168,0.48
42924.85,0.03,98.5,3.77,144.7,154,0.85
42921.81,0.04,105.4,3.73,147,157,0.81
42919.84,0.04,113.2,3.64,144.1,156,0.84
42918.77,0.04,105.9,3.81,143.1,155,0.77
42915.81,0,8,3.6,145,153,0.81
42915.79,0.02,27.7,4.37,162.2,181,0.79
42914.75,0.03,33.6,3.64,141.1,168,0.75
42914.4,0.03,44.7,3.59,149.5,176,0.4
42912.75,0.04,47.6,3.62,141.5,175,0.75
42911.83,0.05,80.9,3.97,152,183,0.83
42908.73,0.03,37.4,3.51,138.1,153,0.73
42907.82,0.03,33.9,3.72,149.2,159,0.82
42898.8,0,0,3.55,137.7,144,0.8
42898.7,0.04,54.2,3.65,152.2,164,0.7
42893.3,0.04,41.2,3.55,146.7,174,0.3
42892.71,0.03,60.9,3.67,147.1,170,0.71
42891.77,0,0,3.67,145.7,152,0.77
42891.71,0.03,41.1,3.77,149.3,165,0.71
